fold,variant,seed,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst,scanner_probe_accuracy,effective_rank,feature_variance_nonzero_fraction,n_test_slides
1,paired_acquisition_dep20,702,0.8609752237796784,0.8264277577400208,0.9995,0.995,0.54,50.07945956055658,1.0,10
1,paired_acquisition_dep20,703,0.8645052194595337,0.8287219405174255,1.0,1.0,0.48,49.37089761917137,1.0,10
1,paired_acquisition_dep20,704,0.8595523059368133,0.8234825730323792,0.9994999999999999,0.995,0.492,50.960278988263724,1.0,10
1,paired_acquisition_dep20,705,0.8631533324718476,0.8302769660949707,1.0,1.0,0.48600000000000004,49.41878146398752,1.0,10
2,paired_acquisition_dep20,701,0.8566808760166168,0.8297626376152039,1.0,1.0,0.514,50.80805015105896,1.0,10
2,paired_acquisition_dep20,702,0.8573719263076782,0.8285759091377258,1.0,1.0,0.5319999999999999,50.86964869068526,1.0,10
2,paired_acquisition_dep20,703,0.8591272234916687,0.8305413722991943,1.0,1.0,0.518,50.21160502442267,1.0,10
2,paired_acquisition_dep20,704,0.8547719597816468,0.8294776678085327,1.0,1.0,0.506,50.5643057208052,1.0,10
2,paired_acquisition_dep20,705,0.8576626479625702,0.83330899477005,1.0,1.0,0.5519999999999999,50.63630397567299,1.0,10
3,paired_acquisition_dep20,701,0.8712251901626586,0.8371989130973816,1.0,1.0,0.5733333333333334,42.171173233247096,1.0,9
3,paired_acquisition_dep20,702,0.8720134258270263,0.8414462804794312,1.0,1.0,0.5266666666666667,41.237781710014815,1.0,9
3,paired_acquisition_dep20,703,0.8740722954273223,0.8443107604980469,1.0,1.0,0.5688888888888888,41.35850643189231,1.0,9
3,paired_acquisition_dep20,704,0.8689919769763946,0.8329744935035706,0.9988888888888889,0.9888888888888889,0.6022222222222222,43.05394199369121,1.0,9
3,paired_acquisition_dep20,705,0.8720348596572876,0.8397815227508545,1.0,1.0,0.5977777777777777,42.0458608758277,1.0,9
4,paired_acquisition_dep20,701,0.8704445779323577,0.8300708532333374,0.9994444444444444,0.9944444444444445,0.5688888888888888,43.25654254787099,1.0,9
4,paired_acquisition_dep20,702,0.8713107407093048,0.832689642906189,0.9988888888888887,0.9944444444444445,0.5066666666666666,42.77227579912051,1.0,9
4,paired_acquisition_dep20,703,0.8717845559120179,0.8302186131477356,0.9994444444444444,0.9944444444444445,0.47555555555555556,43.27338722264067,1.0,9
4,paired_acquisition_dep20,704,0.8683097720146179,0.8249658942222595,0.9988888888888889,0.9944444444444445,0.5511111111111111,43.97640584401877,1.0,9
4,paired_acquisition_dep20,705,0.8726283490657807,0.8326206803321838,0.9994444444444444,0.9944444444444445,0.5599999999999999,42.509860918655164,1.0,9

