fold,variant,seed,slide_id,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst,scanner_probe_accuracy
2,paired_reference,704,slide_28,0.5881929478049278,0.4874145120382309,0.985,0.95,0.54
2,paired_reference,705,slide_28,0.584942741394043,0.48809615075588225,0.965,0.9,0.58
3,paired_reference,701,slide_29,0.570327952504158,0.49064325392246244,0.975,0.85,0.78
3,paired_reference,702,slide_29,0.575863136947155,0.473050057888031,0.975,0.9,0.78
3,paired_reference,703,slide_29,0.5620646279305219,0.4452491164207458,0.94,0.8,0.62
3,paired_reference,704,slide_29,0.5662911334633827,0.4687578871846199,0.96,0.85,0.7
3,paired_reference,705,slide_29,0.580441441833973,0.5032141670584679,0.955,0.85,0.66
4,paired_reference,701,slide_3,0.6662581160664558,0.585700049996376,1.0,1.0,0.66
4,paired_reference,702,slide_3,0.6831254240870476,0.6083451360464096,1.0,1.0,0.68
4,paired_reference,703,slide_3,0.6805224913358688,0.5966068059206009,0.995,0.95,0.72
4,paired_reference,704,slide_3,0.6789336365461349,0.6008701026439667,1.0,1.0,0.7
4,paired_reference,705,slide_3,0.6845826029777526,0.5974388122558594,1.0,1.0,0.74
4,paired_reference,701,slide_30,0.5766305024921894,0.51574627161026,0.945,0.85,0.72
4,paired_reference,702,slide_30,0.5685935685038567,0.5082949966192245,0.965,0.85,0.64
4,paired_reference,703,slide_30,0.5818638226389885,0.5208180248737335,0.945,0.9,0.64
4,paired_reference,704,slide_30,0.5679146116971969,0.5021052658557892,0.965,0.85,0.72
4,paired_reference,705,slide_30,0.5854491756856441,0.5253700509667396,0.97,0.9,0.74
3,paired_reference,701,slide_31,0.6022394394874573,0.5460910111665725,0.975,0.9,0.84
3,paired_reference,702,slide_31,0.6169895350933075,0.5719665169715882,0.975,0.95,0.8
3,paired_reference,703,slide_31,0.5996688294410706,0.5320254474878311,0.97,0.8,0.84
3,paired_reference,704,slide_31,0.5696652022004127,0.5020319312810898,0.96,0.9,0.86
3,paired_reference,705,slide_31,0.6150649425387382,0.5602372050285339,0.99,0.95,0.84
4,paired_reference,701,slide_32,0.6480545914173126,0.5696104824542999,0.96,0.9,0.52
4,paired_reference,702,slide_32,0.6529573591053486,0.5616492867469788,0.975,0.9,0.58
4,paired_reference,703,slide_32,0.6647835722565651,0.5907459020614624,0.985,0.95,0.56
4,paired_reference,704,slide_32,0.6437403619289398,0.5631719797849655,0.975,0.9,0.66
4,paired_reference,705,slide_32,0.6643704091012478,0.5889387607574463,0.985,0.95,0.66
0,paired_reference,701,slide_33,0.6235713377594948,0.5529859721660614,0.98,0.95,0.66
0,paired_reference,702,slide_33,0.6245884627103806,0.5732915252447128,0.975,0.9,0.74
0,paired_reference,703,slide_33,0.6381247228384018,0.5845547437667846,0.995,0.95,0.66
0,paired_reference,704,slide_33,0.6283791232109069,0.5592279642820358,0.985,0.95,0.72
0,paired_reference,705,slide_33,0.6134611889719963,0.5640810579061508,0.98,0.95,0.68
0,paired_reference,701,slide_34,0.6469682267308235,0.5890754789113999,0.95,0.85,0.78
0,paired_reference,702,slide_34,0.6504745545983315,0.5774929493665695,0.955,0.9,0.78
