fold,variant,method,seed,epochs,final_training_loss,projected_feature_dim,projected_feature_variance_mean,run_dir,input_dim,biological_dim,acquisition_dim,hidden_dim,temperature,reconstruction_weight,variance_weight,covariance_weight,scanner_adversary_weight,scanner_acquisition_weight,scanner_dependence_weight,cross_covariance_weight,gradient_reversal_strength,n_fit_slides,n_test_slides
2,paired_reference,paired_consistency,704,75,1.610498458147049,256,1.076370358467102,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_2\runs\paired_reference_seed_704,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
2,paired_acquisition_dep20,paired_acquisition,704,75,2.4402034481366477,256,1.037044644355774,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_2\runs\paired_acquisition_dep20_seed_704,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
2,paired_reference,paired_consistency,705,75,1.6096181174119313,256,1.077235221862793,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_2\runs\paired_reference_seed_705,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
2,paired_acquisition_dep20,paired_acquisition,705,75,2.4377670685450235,256,1.043332576751709,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_2\runs\paired_acquisition_dep20_seed_705,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
3,paired_reference,paired_consistency,701,75,1.6614540907052846,256,1.0515997409820557,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_3\runs\paired_reference_seed_701,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
3,paired_acquisition_dep20,paired_acquisition,701,75,2.5045274037581224,256,1.0007277727127075,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_3\runs\paired_acquisition_dep20_seed_701,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
3,paired_reference,paired_consistency,702,75,1.656777675335224,256,1.049928903579712,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_3\runs\paired_reference_seed_702,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
3,paired_acquisition_dep20,paired_acquisition,702,75,2.494614912913396,256,1.0009634494781494,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_3\runs\paired_acquisition_dep20_seed_702,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
3,paired_reference,paired_consistency,703,75,1.6539504436346202,256,1.0523015260696411,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_3\runs\paired_reference_seed_703,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39,9
3,paired_acquisition_dep20,paired_acquisition,703,75,2.4919957381028395,256,1.008659839630127,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_3\runs\paired_acquisition_dep20_seed_703,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,39,9
