backbone,slide_id,scanner_probe_accuracy,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst
dinov2_base,slide_43,-0.4159999999999999,0.034157487273216436,0.03649888873100282,0.0,0.0
dinov2_base,slide_44,-0.41200000000000003,0.03740270555019387,0.045653369426727375,0.0,0.0
dinov2_base,slide_45,-0.4720000000000001,0.030495751142501804,0.026606656312942567,0.0,0.0
dinov2_base,slide_46,-0.24000000000000005,0.03493827509880065,0.03697576999664309,0.0,0.0
dinov2_base,slide_47,-0.4,0.02084701895713814,0.02525950551033007,0.0,0.0
dinov2_base,slide_48,-0.5280000000000001,0.033867122411727846,0.02878895282745375,0.0,0.0
dinov2_base,slide_5,-0.31999999999999995,0.02702289867401131,0.030349926948547434,0.0,0.0
dinov2_base,slide_6,-0.40000000000000013,0.051908079743385294,0.05341311573982244,0.0,0.0
dinov2_base,slide_7,-0.47200000000000003,0.01729792761802673,0.02013601899147044,0.0,0.0
dinov2_base,slide_8,-0.20800000000000007,0.025974894046783437,0.01714005708694455,-0.0030000000000000027,-0.020000000000000018
dinov2_base,slide_9,-0.19600000000000006,0.01688440287113213,0.00906652688980114,0.0,0.0
phikon,slide_1,-0.42400000000000004,0.03644239687919626,0.042375911474228034,0.0,0.0
phikon,slide_10,-0.384,0.10706669640541078,0.10686825871467598,0.0010000000000000009,0.010000000000000009
phikon,slide_11,-0.44399999999999995,0.08475820827484137,0.09071697711944571,0.0,0.0
phikon,slide_12,-0.472,0.07400662314891815,0.07290173888206475,0.0,0.0
phikon,slide_13,-0.344,0.08974819839000714,0.09850710988044731,0.0,0.0
phikon,slide_14,-0.528,0.08417353260517124,0.09208034992218017,0.0010000000000000009,0.010000000000000009
phikon,slide_15,-0.46799999999999997,0.08421876513957982,0.10234866976737966,0.0,0.0
phikon,slide_16,-0.404,0.08505380403995522,0.09610764622688306,0.0,0.0
phikon,slide_17,-0.44399999999999995,0.09180360209941862,0.08870663762092579,0.0020000000000000018,0.020000000000000018
phikon,slide_18,-0.4160000000000001,0.07790398883819583,0.07955540776252745,0.0020000000000000018,0.020000000000000018
phikon,slide_19,-0.32000000000000006,0.1267312170863153,0.13563088119029998,0.0,0.0
phikon,slide_2,-0.4119999999999999,0.10697669148445121,0.11311335563659664,0.0,0.0
phikon,slide_20,-0.512,0.07635434508323669,0.07964667558670047,0.0,0.0
phikon,slide_21,-0.45200000000000007,0.08917965722084042,0.09071728944778445,0.0030000000000000027,0.020000000000000018
phikon,slide_22,-0.48400000000000004,0.07911319565773023,0.08559246063232429,0.0,0.0
phikon,slide_23,-0.41600000000000004,0.10925499725341792,0.11170514345169069,0.0,0.0
phikon,slide_24,-0.488,0.08436616885662074,0.10877904295921326,0.0,0.0
phikon,slide_25,-0.396,0.1142181062698363,0.13467867732048044,0.0010000000000000009,0.010000000000000009
phikon,slide_26,-0.368,0.04688853716850283,0.04974079370498652,0.0,0.0
phikon,slide_27,-0.45599999999999996,0.08196282601356508,0.08753870844841005,0.0,0.0
phikon,slide_28,-0.44399999999999995,0.10044465756416321,0.1000123834609985,0.0,0.0
phikon,slide_29,-0.42400000000000004,0.12062343072891246,0.12151979684829728,0.0,0.0
phikon,slide_3,-0.45600000000000007,0.08399176907539352,0.09473672509193432,0.0,0.0
phikon,slide_30,-0.42799999999999994,0.10904425346851343,0.12496894359588617,0.0030000000000000027,0.010000000000000009
phikon,slide_31,-0.356,0.1093998477458955,0.11702042102813703,0.0010000000000000009,0.010000000000000009
